ID,Desired_closeness_to_CA,Threat_to_relational_value_from_CA,Thinks_frequently_about_CA,Female,Needs_to_belong,Selfesteem_contingent_on_academics,Sum_of_risk_factors,Average_anxiety
161,1,0.00,0.00,1.00,1.00,0.00,3.0,5.00
162,1,1.00,1.00,1.00,1.00,1.00,6.0,7.00
163,1,0.00,0.00,0.00,0.00,1.00,2.0,5.00
164,1,0.00,1.00,0.00,1.00,1.00,4.0,5.50
165,1,1.00,1.00,1.00,1.00,1.00,6.0,5.00
166,1,1.00,1.00,0.00,1.00,0.00,4.0,3.50
167,1,0.00,0.00,0.00,1.00,1.00,3.0,2.50
168,1,1.00,1.00,1.00,1.00,1.00,6.0,6.00
169,1,0.00,1.00,1.00,1.00,1.00,5.0,4.50
170,1,1.00,1.00,1.00,1.00,0.00,5.0,2.50
171,1,0.00,0.00,1.00,0.00,0.00,2.0,5.00
172,1,1.00,1.00,0.00,0.00,1.00,4.0,2.00
173,1,1.00,1.00,1.00,0.00,1.00,5.0,5.50
174,1,1.00,0.00,0.00,1.00,1.00,4.0,4.00
175,1,1.00,1.00,1.00,1.00,1.00,6.0,5.00
176,1,1.00,0.00,1.00,1.00,0.00,4.0,5.50
177,1,1.00,1.00,1.00,1.00,1.00,6.0,4.00
178,1,0.00,1.00,0.00,1.00,0.00,3.0,5.00
179,1,1.00,1.00,1.00,1.00,0.00,5.0,3.50
180,1,0.00,1.00,1.00,1.00,1.00,5.0,6.00
181,1,1.00,1.00,1.00,1.00,1.00,6.0,6.00
182,1,0.00,0.00,1.00,1.00,1.00,4.0,1.00
183,1,0.00,1.00,1.00,1.00,1.00,5.0,5.00
184,1,0.00,1.00,1.00,1.00,0.00,4.0,6.00
185,1,1.00,1.00,1.00,1.00,1.00,6.0,4.50
186,1,0.00,1.00,1.00,1.00,1.00,5.0,5.50
187,1,0.00,1.00,1.00,1.00,0.00,4.0,2.50
188,1,0.00,1.00,1.00,1.00,0.00,4.0,5.00
189,1,0.00,1.00,0.00,0.00,0.00,2.0,5.50
190,1,1.00,1.00,1.00,0.00,0.00,4.0,3.50
191,1,0.00,1.00,0.00,0.00,1.00,3.0,5.50
192,1,1.00,1.00,0.00,0.00,0.00,3.0,3.50
193,1,0.00,1.00,0.00,1.00,0.00,3.0,1.00
